character_name,episode_appearance_count,kill_count,dead
Orell,6,0,1
Ornela,2,0,0
Osha,16,2,1
Othell Yarwyck,13,1,1
Othor,1,0,1
Petyr Baelish,41,3,1
Podrick Payne,31,2,0
Polliver,3,1,1
Prendahl na Ghezn,1,0,1
Pyat Pree,4,2,1
Pypar,13,0,1
Qhono,9,0,0
Qhorin Halfhand,4,0,1
Qotho,5,0,1
Quaithe,2,0,0
Qyburn,20,0,0
Rakharo,7,0,1
Ramsay Snow,20,9,1
Randyll Tarly,5,0,1
Rast,11,1,1
Rattleshirt,4,0,1
Razdal mo Eraz,3,0,1
Red Keep Stableboy,1,0,1
Red Priestess,2,0,0
Red Priestess,2,0,0
Renly Baratheon,8,0,1
Rhaegal,26,2,0
Rhaegar Targaryen,1,0,1
Rhaego,3,0,1
Rickard Karstark,6,2,1
Rickard Stark,1,0,1
Rickon Stark,14,0,1
Robb Stark,23,2,1
Robert Baratheon,7,1,1
Robett Glover,6,0,0
Robin Arryn,8,0,0
Rodrik Cassel,12,0,1
Roose Bolton,19,1,1
Rorge,3,0,1
Ros,14,0,1
Roslin Frey,1,0,0
Royal Steward,4,0,0
Ryger Rivers,1,0,0
Salladhor Saan,3,0,0
Samwell Tarly,45,2,0
Sandor Clegane,35,14,0
Sansa Stark,56,0,0
Selyse Baratheon,11,1,1
Septa Moelle,1,0,0
Septa Mordane,7,0,1
Septa Scolera,1,0,0
Septa Unella,8,0,0
Septon,2,0,0
Septon,2,0,0
Ser Endrew Tarth,1,0,0
Shae,20,0,1
Shagga,2,0,0
Shaggydog,9,0,1
Shireen Baratheon,10,0,1
Silk King,2,0,1
Smalljon Umber,2,1,1
Spice King,3,0,1
Stannis Baratheon,24,2,1
Steelshanks Walton,1,0,0
Stevron Frey,1,0,0
Stiv,1,0,1
Styr,4,1,1
Summer,15,1,1
Syrio Forel,3,0,1
Talisa Maegyr,11,0,1
Talla Tarly,1,0,0
Ternesio Terys,2,0,0
The Bear,1,0,0
The Night King,8,3,0
The Tickler,2,1,1
The Waif,11,1,1
Thenn Warg,3,0,1
Theon Greyjoy,45,5,0
Thin Man,2,0,0
Thoros of Myr,10,0,0
Three-Eyed Raven,9,0,1
Timett,3,0,0
Tobho Mott,2,0,0
Todder,2,0,0
Tomard,1,0,0
Tommen Baratheon,24,1,1
Tormund Giantsbane,30,2,0
Trystane Martell,5,0,1
Tycho Nestoris,4,0,0
Tyene Sand,9,2,1
Tyrion Lannister,63,2,0
Tywin Lannister,27,0,1
Vala,3,0,0
Vardis Egen,2,0,1
Varly,1,0,1
Viserion,25,2,1
Viserys Targaryen,5,0,1
Walda Bolton,5,0,1
Walder Frey,6,0,1
Wallen,1,0,1
Warlock,1,0,0
Waymar Royce,1,0,1
