,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
118,Ronald Storm,0,0,0,0.040133779264214,1
119,Ronnel Stout,0,0,0,0.0334448160535117,1
120,Ronnel Harclay,0,0,0,0.0133779264214046,1
121,Roone,0,0,0,0.040133779264214,1
122,Roone (maester),0,1,0,0.0100334448160535,1
123,Roryn Drumm,0,0,0,0.00334448160535117,1
124,Roose Ryswell,0,0,0,0.0301003344481605,1
125,Rosamund Lannister,0,0,0,0.0234113712374581,1
126,Rosey,0,0,0,0.0301003344481605,1
127,Rowan,0,0,0,0.060200668896321,0
128,Rudge,0,0,0,0.0,1
129,Runciter,0,1,0,0.244147157190635,0
130,Rupert Crabb,0,1,0,0.00668896321070234,1
131,Rus,0,0,0,0.0100334448160535,1
132,Rusty Flowers,0,0,0,0.0,1
133,Ryam,0,1,0,0.0133779264214046,1
134,Ryk,1,0,0,0.0267558528428093,1
135,Ryles,0,0,0,0.0133779264214046,0
136,Rymolf,0,0,0,0.0,1
137,S'vrone,0,0,0,0.0133779264214046,1
138,Saathos,0,0,0,0.00334448160535117,1
139,Sailor's Wife,0,0,0,0.0468227424749163,1
140,Sallor,0,0,0,0.0301003344481605,0
141,Salloreon,0,0,0,0.0133779264214046,1
142,Sam Stoops,0,0,0,0.00334448160535117,1
143,Samwell Spicer,0,1,0,0.0133779264214046,1
144,Sargon Botley,0,0,0,0.0535117056856187,1
145,Scarb,0,0,0,0.00668896321070234,1
146,Sawwood,0,0,0,0.0100334448160535,1
147,Sedgekins,0,0,0,0.0,1
148,Sefton Staunton,0,0,0,0.0301003344481605,1
149,Serra,1,0,0,0.0167224080267558,1
150,Sharna,1,0,0,0.0367892976588628,1
151,Shella,0,0,0,0.00334448160535117,1
152,Sherrit,0,1,0,0.00334448160535117,1
153,Shortear,0,0,0,0.0133779264214046,1
154,Shyra,0,0,0,0.020066889632107,1
155,Sigfry Stonetree,0,0,0,0.00334448160535117,1
156,Sigrin,0,0,0,0.0234113712374581,1
157,Simon Leygood,0,1,0,0.00334448160535117,1
158,Sky Blue Su,0,0,0,0.0,1
159,Skinner,0,0,0,0.0334448160535117,1
160,Skittrick,0,0,0,0.00668896321070234,1
161,Skyte,0,0,0,0.0234113712374581,1
162,Sloey,0,0,0,0.0167224080267558,1
163,Spare Boot,0,0,0,0.0133779264214046,1
164,Softfoot,0,0,0,0.020066889632107,0
165,Spotted Pate of Maidenpool,0,0,0,0.0133779264214046,0
166,Squint,0,0,0,0.00334448160535117,0
167,Squirrel,0,0,0,0.0434782608695652,0
168,Steffarion Sparr,0,0,0,0.020066889632107,1
169,Stafford Lannister,1,1,1,0.170568561872909,0
170,Steffon Fossoway,0,1,0,0.040133779264214,1
171,Steffon Hollard,0,1,0,0.0267558528428093,1
172,Stannis Baratheon,0,0,4,1.0,1
173,Steffon Varner,0,1,0,0.0133779264214046,1
174,Stone Thumbs,0,0,0,0.00334448160535117,0
175,Stonehand,0,0,0,0.0100334448160535,1
176,Sybassion,0,0,0,0.0133779264214046,1
177,Sylas,0,0,0,0.00668896321070234,0
178,Symon Stripeback,0,0,0,0.0434782608695652,1
179,Symond Botley,0,0,0,0.0468227424749163,1
180,Tagganaro,0,0,0,0.0301003344481605,1
181,Tal Toraq,0,0,0,0.0234113712374581,1
182,Talea,0,0,0,0.020066889632107,1
183,Talla Tarly,0,0,0,0.0702341137123745,1
184,Tansy,0,0,0,0.0234113712374581,1
185,Tansy (orphan),0,0,0,0.00668896321070234,1
186,Tarber,0,0,0,0.0334448160535117,1
187,Terrance Lynderly,0,0,0,0.0167224080267558,1
188,Terro,0,0,0,0.0133779264214046,1
189,Theo Frey,0,1,0,0.0133779264214046,1
190,Theobald,0,1,0,0.020066889632107,1
191,Thistle,0,0,0,0.0167224080267558,0
192,Theon Stark,0,0,0,0.0568561872909698,1
